Time;Fz1
1.306;-203260.8859
1.308;-166599.5023
1.31;-170945.0802
1.312;-188207.758
1.314;-179255.5398
1.316;-186534.3704
1.318;-201088.6427
1.32;-181739.7644
1.322;-188431.244
1.324;-183245.8882
1.326;-150215.7525
1.328;-133290.6223
1.33;-122447.7414
1.332;-161191.2561
1.334;-153119.9227
1.336;-126165.7972
1.338;-127226.3244
1.34;-138199.7436
1.342;-131831.4473
1.344;-139564.2548
1.346;-149627.6641
1.348;-148261.749
1.35;-144338.187
1.352;-187247.5237
1.354;-195657.5672
1.356;-190095.1452
1.358;-205622.4419
1.36;-203143.2795
1.362;-184965.8843
1.364;-199416.347
1.366;-246283.2205
1.368;-271525.1061
1.37;-250420.4846
1.372;-276315.7703
1.374;-223578.4496
1.376;-256527.5625
1.378;-281227.5572
1.38;-278804.8725
1.382;-343920.8903
1.384;-343020.168
1.386;-315980.4399
1.388;-270232.0886
1.39;-253977.2607
1.392;-230534.0825
1.394;-257215.5609
1.396;-259393.0505
1.398;-305251.663
1.4;-303164.498
1.402;-318291.587
1.404;-398848.1218
1.406;-304839.4028
1.408;-369494.2969
1.41;-407145.9615
1.412;-364620.6532
1.414;-325341.1322
1.416;-387824.2088
1.418;-399915.5687
1.42;-387637.4055
1.422;-363085.2767
1.424;-387838.6436
1.426;-352604.2189
1.428;-335947.1415
1.43;-330689.1148
1.432;-344162.0584
1.434;-251947.8638
1.436;-286948.4655
1.438;-285038.5468
1.44;-210814.4478
1.442;-225964.352
1.444;-198510.8181
1.446;-201969.5842
1.448;-211889.0839
1.45;-191995.3793
1.452;-211622.7185
1.454;-167502.1387
1.456;-139487.8405
1.458;-123317.8354
1.46;-107451.2542
1.462;-112073.9458
1.464;-104188.8485
1.466;-110562.2351
1.468;-116441.1903
1.47;-118718.2779
1.472;-124940.5163
1.474;-124627.3579
1.476;-130509.39
1.478;-156290.6426
1.48;-192193.0725
1.482;-177468.9984
1.484;-154370.5711
1.486;-178686.1403
1.488;-184514.8709
1.49;-163246.1196
1.492;-167807.7818
1.494;-176478.4339
1.496;-179388.9423
1.498;-134478.1285
1.5;-82938.90645
1.502;-111940.8057
1.504;-130441.5544
1.506;-105783.4181
1.508;-116970.7449
1.51;-132639.5477
1.512;-137314.1653
1.514;-123210.2683
1.516;-118412.2732
1.518;-122763.7499
1.52;-159327.7898
1.522;-124710.0964
1.524;-142406.3321
1.526;-170491.7698
1.528;-188583.8741
1.53;-190147.0713
1.532;-211103.6709
1.534;-225467.6661
1.536;-264709.3273
1.538;-248100.2623
1.54;-256754.3241
1.542;-295456.7603
1.544;-290230.5527
1.546;-299082.0242
1.548;-273722.1636
1.55;-251015.3224
1.552;-292498.3103
1.554;-270249.6148
1.556;-206806.3606
1.558;-182064.9897
1.56;-158115.7244
1.562;-154196.0191
1.564;-174292.0962
1.566;-159940.8203
1.568;-176255.8837
1.57;-174937.9951
1.572;-177370.5064
1.574;-157616.9113
1.576;-152272.7998
1.578;-151262.3978
1.58;-146857.4353
1.582;-147693.9092
1.584;-169615.2382
1.586;-172997.9303
1.588;-191538.8075
1.59;-172613.3063
1.592;-170832.3943
1.594;-165743.0633
1.596;-182799.3132
1.598;-216513.1367
1.6;-204480.2964
1.602;-219287.5769
1.604;-192318.9882
1.606;-217311.3395
1.608;-207001.8134
1.61;-231204.8669
1.612;-190040.0288
1.614;-164424.395
1.616;-154222.4501
1.618;-162425.6687
1.62;-169562.3338
1.622;-168209.8327
1.624;-174797.602
1.626;-172891.1005
1.628;-157242.8512
1.63;-150848.8755
1.632;-168056.139
1.634;-159465.5455
1.636;-147015.7941
1.638;-143906.4155
1.64;-129901.5919
1.642;-117889.936
1.644;-114057.911
1.646;-110552.4015
1.648;-120562.637
1.65;-100104.9708
1.652;-100980.5382
1.654;-96099.2304
1.656;-99221.91663
1.658;-102446.8526
1.66;-122711.3701
1.662;-73006.60962
1.664;-65003.60109
1.666;-81256.12494
1.668;-83092.19596
1.67;-115991.7226
1.672;-108254.8809
1.674;-121168.2089
1.676;-110772.3711
1.678;-120059.6267
1.68;-109103.3793
1.682;-126460.281
1.684;-123208.0562
1.686;-113544.2518
1.688;-102160.7419
1.69;-104881.0937
1.692;-93769.07525
1.694;-114827.0101
1.696;-91123.52134
1.698;-109921.4409
1.7;-113856.8004
1.702;-100132.6709
1.704;-137718.485
1.706;-171255.9556
1.708;-206957.8281
1.71;-201968.62
1.712;-261437.1375
1.714;-226183.5418
1.716;-221247.3373
1.718;-301190.2033
1.72;-305466.4853
1.722;-291924.7703
1.724;-364677.372
1.726;-359869.1533
1.728;-390091.6543
1.73;-426565.5255
1.732;-384351.6317
1.734;-428668.6001
1.736;-413052.1416
1.738;-403594.7155
1.74;-438044.0961
1.742;-429390.3461
1.744;-420926.0653
1.746;-397426.523
1.748;-399454.2184
1.75;-399723.1502
1.752;-385491.6218
1.754;-313007.328
1.756;-344113.0249
1.758;-274094.664
1.76;-304724.9443
1.762;-340964.3402
1.764;-297406.609
1.766;-299844.2107
1.768;-273338.5745
1.77;-273342.5734
1.772;-292374.8334
1.774;-294571.0118
1.776;-289122.6655
1.778;-277259.5703
1.78;-309894.8299
1.782;-317020.9453
1.784;-297265.4078
1.786;-335392.1201
1.788;-372228.878
1.79;-379249.383
1.792;-351583.0262
1.794;-358518.1695
1.796;-353330.2472
1.798;-388955.6061
1.8;-390128.1812
1.802;-453780.1178
1.804;-406811.973
1.806;-519572.9034
1.808;-456689.8463
1.81;-453631.3727
1.812;-428545.6905
1.814;-382243.5375
1.816;-293846.3164
1.818;-319876.6493
1.82;-322684.114
1.822;-322941.0216
1.824;-308563.8677
1.826;-288565.8574
1.828;-295673.7662
1.83;-342378.0268
1.832;-311163.5717
1.834;-289793.6766
1.836;-296399.7662
1.838;-259886.5037
1.84;-311805.6563
1.842;-326505.5965
1.844;-303460.9386
1.846;-294856.6759
1.848;-276110.6184
1.85;-270736.7155
1.852;-241244.2699
1.854;-252065.9805
1.856;-194874.8909
1.858;-186150.0583
1.86;-233907.5295
1.862;-166911.9943
1.864;-149370.1894
1.866;-153916.6935
1.868;-185530.1224
1.87;-192747.6826
1.872;-206530.665
1.874;-209806.5556
1.876;-214882.0189
1.878;-210878.8803
1.88;-229268.3185
1.882;-247831.2169
1.884;-202084.9218
1.886;-198242.1555
1.888;-201207.0573
1.89;-216894.6978
1.892;-216020.4635
1.894;-182678.885
1.896;-193282.2711
1.898;-193240.4126
1.9;-184142.1296
1.902;-195884.4281
1.904;-210579.6748
1.906;-219638.8644
1.908;-223680.7134
1.91;-252378.4442
1.912;-238138.6915
1.914;-225344.3169
1.916;-209549.2227
1.918;-206031.3415
1.92;-197254.2993
1.922;-214252.3273
1.924;-208072.4792
1.926;-215969.3173
1.928;-238381.1925
1.93;-226228.7324
1.932;-233882.6867
1.934;-252259.4766
1.936;-290691.3926
1.938;-262904.9053
1.94;-284266.7747
1.942;-303716.0312
1.944;-337005.2297
1.946;-206482.7378
1.948;-265628.5397
1.95;-239732.9705
1.952;-229430.4349
1.954;-462848.2547
1.956;-287425.6405
1.958;-254069.8824
1.96;-386214.3889
1.962;-373067.5498
1.964;-297037.2282
1.966;-253956.2747
1.968;-362331.3428
1.97;-307976.4883
1.972;-349152.174
1.974;-208629.6983
1.976;-250471.2761
1.978;-370756.8845
1.98;-213951.2216
1.982;-166223.386
1.984;-218762.8009
1.986;-179775.8351
1.988;-207459.4061
1.99;-225606.1591
1.992;-271291.2263
1.994;-272770.3095
1.996;-289578.0036
1.998;-273523.6196
2;-317657.6417
2.002;-366054.6733
2.004;-321686.7715
2.006;-360319.9824
2.008;-262964.063
2.01;-212525.0711
2.012;-249224.91
2.014;-249967.954
2.016;-230935.9491
2.018;-288203.0843
2.02;-259030.9295
2.022;-312665.3991
2.024;-299120.4227
2.026;-296145.2691
2.028;-221837.6944
2.03;-210089.88
2.032;-201692.5981
2.034;-205120.9772
2.036;-196939.2124
2.038;-221564.1824
2.04;-232930.3505
2.042;-259902.555
2.044;-265864.5465
2.046;-284297.2043
2.048;-255431.2459
2.05;-276023.8388
2.052;-276683.1375
2.054;-240974.9693
2.056;-285747.2758
2.058;-239486.6978
2.06;-278093.7611
2.062;-266133.6769
2.064;-287040.7753
2.066;-309954.8668
2.068;-321830.837
2.07;-343903.9595
2.072;-325360.8986
2.074;-365359.6986
2.076;-367831.7003
2.078;-360050.7668
2.08;-345018.1712
2.082;-340272.9955
2.084;-309057.009
2.086;-311621.689
2.088;-302745.233
2.09;-302690.2159
2.092;-277972.1846
2.094;-279815.1469
2.096;-223129.5348
2.098;-224152.0887
2.1;-231733.4289
2.102;-222638.2511
2.104;-225341.396
2.106;-225356.4405
2.108;-239529.7472
2.11;-236758.1997
2.112;-218176.9953
2.114;-229085.8259
2.116;-208364.1836
2.118;-225645.7203
2.12;-234326.2273
2.122;-256598.2057
2.124;-276888.9982
2.126;-283251.2822
2.128;-302561.4358
2.13;-253996.3749
2.132;-231502.2574
2.134;-322160.997
2.136;-320707.8343
2.138;-323957.9605
2.14;-346740.124
2.142;-361654.5178
2.144;-331032.9722
2.146;-410107.5593
2.148;-311671.5165
2.15;-307616.8632
2.152;-331606.4555
2.154;-285723.3973
2.156;-245016.549
2.158;-252213.4209
2.16;-208843.3012
2.162;-208456.7628
2.164;-189002.8414
2.166;-194866.6668
2.168;-216676.5292
2.17;-208198.3097
2.172;-190235.5099
2.174;-171101.1702
2.176;-190623.7215
2.178;-178449.0558
2.18;-156777.5021
2.182;-183604.6769
2.184;-164641.9114
2.186;-152032.9078
2.188;-144248.1317
2.19;-89423.46897
2.192;-117185.872
2.194;-85051.30413
2.196;-78958.33494
2.198;-93438.46875
2.2;-81446.06895
2.202;-75733.29973
2.204;-71173.00587
2.206;-69082.28895
2.208;-70956.0354
2.21;-58822.93055
2.212;-74148.22337
2.214;-76676.95793
2.216;-77030.25194
2.218;-79151.26377
2.22;-81512.26681
2.222;-87275.64335
2.224;-91957.00337
2.226;-116224.2765
2.228;-128680.9761
2.23;-147995.015
2.232;-150955.1948
2.234;-162836.9222
2.236;-180452.3905
2.238;-178095.372
2.24;-191832.4406
2.242;-212035.2621
2.244;-194446.154
2.246;-243522.18
2.248;-298642.8508
2.25;-287791.5615
2.252;-303247.8461
2.254;-391856.1746
2.256;-385126.7501
2.258;-398996.8099
2.26;-418561.9144
2.262;-375111.5801
2.264;-378999.2533
2.266;-413957.4011
2.268;-374188.2272
2.27;-377856.7393
2.272;-298675.1239
2.274;-252381.1384
2.276;-297015.2213
2.278;-292012.4574
2.28;-304365.0638
2.282;-357520.7136
2.284;-378419.5311
2.286;-380221.2872
2.288;-445227.7809
2.29;-463366.6924
2.292;-472388.4902
2.294;-437094.5674
2.296;-465635.3574
2.298;-477408.9788
2.3;-467414.3126
2.302;-482186.2857
2.304;-468785.4317
2.306;-462636.6086
2.308;-432024.5634
2.31;-420126.6713
2.312;-407059.2668
2.314;-388738.9121
2.316;-349973.4615
2.318;-314114.2228
2.32;-329500.545
2.322;-311059.4927
2.324;-265544.0288
2.326;-256800.1528
2.328;-245695.6142
2.33;-205942.0803
2.332;-194484.7937
2.334;-201483.5044
2.336;-226209.845
2.338;-231795.3799
2.34;-199790.9035
2.342;-214655.8811
2.344;-192628.2046
2.346;-191631.2449
2.348;-203099.0955
2.35;-171186.1065
2.352;-165258.8979
2.354;-158858.0594
2.356;-151301.4061
2.358;-157248.3103
2.36;-136659.0638
2.362;-144114.6016
2.364;-123521.2997
2.366;-134194.9177
2.368;-122645.6615
2.37;-128225.6946
2.372;-124877.6294
2.374;-135416.1857
2.376;-167456.8629
2.378;-159701.1977
2.38;-173759.1526
2.382;-194490.1536
2.384;-231800.8391
2.386;-228849.1245
2.388;-290603.4786
2.39;-248362.3313
2.392;-272516.323
2.394;-289709.2507
2.396;-269424.9525
2.398;-267634.7102
2.4;-279615.0432
2.402;-281308.1261
2.404;-280378.5909
2.406;-276534.0807
2.408;-261458.1518
2.41;-243251.1495
2.412;-205946.859
2.414;-215531.9165
2.416;-220661.9289
2.418;-198279.2071
2.42;-224643.5426
2.422;-226661.1279
2.424;-243859.0611
2.426;-324189.3161
2.428;-305106.0943
2.43;-328327.9132
2.432;-325824.688
2.434;-347544.4526
2.436;-347079.529
2.438;-411828.8316
2.44;-417837.6159
2.442;-390233.3661
2.444;-377949.6161
2.446;-382478.0411
2.448;-369966.7924
2.45;-329107.4557
2.452;-341439.9836
2.454;-356767.7438
2.456;-330441.424
2.458;-352614.088
2.46;-318522.9146
2.462;-325444.5305
2.464;-298415.9475
2.466;-359080.7912
2.468;-349429.6136
2.47;-345023.5877
2.472;-349487.325
2.474;-334899.6311
2.476;-355314.4959
2.478;-377769.6476
2.48;-359623.1074
2.482;-410633.3138
2.484;-414846.5811
2.486;-430535.5262
2.488;-447854.7382
2.49;-316293.1871
2.492;-389771.5903
2.494;-326950.2432
2.496;-283709.4563
2.498;-260121.7445
2.5;-298279.9076
2.502;-312186.3808
2.504;-280767.1995
2.506;-282489.1807
2.508;-310688.1834
2.51;-305462.9687
2.512;-270709.2636
2.514;-274513.9005
2.516;-316950.8409
2.518;-284950.8028
2.52;-297175.3099
2.522;-287133.624
2.524;-275127.5124
2.526;-275094.6722
2.528;-251995.7912
2.53;-265173.939
2.532;-244363.3191
2.534;-254787.5164
2.536;-248333.348
2.538;-240214.2007
2.54;-248363.6642
2.542;-275796.1697
2.544;-273730.4445
2.546;-250010.2095
2.548;-291793.7499
2.55;-297175.1398
2.552;-304694.3162
2.554;-292343.5247
2.556;-269912.28
2.558;-291698.4057
2.56;-257742.8184
2.562;-257934.4427
2.564;-218155.3287
2.566;-222561.6242
2.568;-215513.4403
2.57;-201637.9497
2.572;-224466.1971
2.574;-205356.7286
2.576;-197447.1714
2.578;-208193.3043
2.58;-195494.1889
2.582;-235517.3069
2.584;-211543.4682
2.586;-216885.8496
2.588;-200210.4095
2.59;-196699.9161
2.592;-194596.7565
2.594;-161649.9405
2.596;-222407.4485
2.598;-210904.2478
2.6;-214415.6346
2.602;-194516.4569
2.604;-177481.505
2.606;-193199.0363
2.608;-194340.175
2.61;-139182.3675
2.612;-197499.3953
2.614;-124988.004
2.616;-137364.2054
2.618;-136234.141
2.62;-115407.1224
2.622;-120170.8522
2.624;-141547.0147
2.626;-119740.7114
2.628;-134085.4079
2.63;-122174.5555
2.632;-104632.6656
2.634;-107583.1112
2.636;-112137.3219
2.638;-129519.7471
2.64;-140920.0598
2.642;-129660.9343
2.644;-130347.458
2.646;-142379.8303
2.648;-178781.527
2.65;-189660.7505
2.652;-190820.507
2.654;-179457.8414
2.656;-214411.6787
2.658;-267348.4507
2.66;-216848.4011
2.662;-218447.2178
2.664;-205500.227
2.666;-222295.8118
2.668;-199113.072
2.67;-216763.9753
2.672;-205484.2892
2.674;-237409.3451
2.676;-197436.2247
2.678;-202134.4798
2.68;-173344.0423
2.682;-201559.7913
2.684;-167405.3765
2.686;-166118.9243
2.688;-169966.6817
2.69;-214047.7569
2.692;-230443.8147
2.694;-341837.3552
2.696;-226795.5371
2.698;-225974.7883
2.7;-214851.1781
2.702;-199560.6822
2.704;-218854.7277
2.706;-212086.7628
2.708;-170086.1315
2.71;-195841.5487
2.712;-193783.6365
2.714;-215637.3141
2.716;-160878.4663
2.718;-178026.402
2.72;-167530.8667
2.722;-172875.1768
2.724;-180279.3699
2.726;-151749.5126
2.728;-200431.4851
2.73;-216285.9497
2.732;-259651.603
2.734;-200048.3783
2.736;-253267.8793
2.738;-337506.3682
2.74;-374140.4134
